101_netweaver	com.sap.managementconsole.soap.axis.sapcontrol.DirEntry
102_squirrel-sql	net.sourceforge.squirrel_sql.client.gui.HtmlViewerPanel
102_squirrel-sql	net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame
102_squirrel-sql	net.sourceforge.squirrel_sql.client.mainframe.action.ToggleTreeViewAction
102_squirrel-sql	net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeCellRenderer
102_squirrel-sql	net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser
102_squirrel-sql	net.sourceforge.squirrel_sql.client.update.gui.installer.PreLaunchHelperImpl
103_sweethome3d	com.eteks.sweethome3d.viewcontroller.PhotoController
103_sweethome3d	com.eteks.sweethome3d.viewcontroller.RoomController
104_vuze	com.aelitis.azureus.core.dht.router.impl.DHTRouterNodeImpl
104_vuze	com.aelitis.azureus.core.instancemanager.impl.AZOtherInstanceImpl
104_vuze	com.aelitis.azureus.core.metasearch.impl.ExternalLoginWindow
104_vuze	com.aelitis.azureus.core.nat.NATTraverser
104_vuze	com.aelitis.azureus.core.peermanager.messaging.azureus.AZMessageDecoder
104_vuze	org.bouncycastle.asn1.pkcs.CertificationRequestInfo
104_vuze	org.bouncycastle.crypto.params.ElGamalKeyParameters
104_vuze	org.gudy.azureus2.core3.disk.impl.resume.RDResumeHandler
104_vuze	org.gudy.azureus2.pluginsimpl.local.clientid.ClientIDManagerImpl
104_vuze	org.gudy.azureus2.ui.console.commands.Show
104_vuze	org.gudy.azureus2.ui.console.commands.XML
104_vuze	org.gudy.azureus2.ui.swt.mainwindow.MainMenu
104_vuze	org.gudy.azureus2.ui.swt.views.TorrentOptionsView
104_vuze	org.gudy.azureus2.ui.swt.views.tableitems.files.FileHashItemBase
104_vuze	org.gudy.azureus2.ui.swt.views.tableitems.mytracker.AnnounceCountItem
104_vuze	org.gudy.azureus2.ui.swt.views.tableitems.tracker.PeersItem
104_vuze	org.gudy.azureus2.ui.swt.welcome.WelcomeWindow
105_freemind	accessories.plugins.NewParentNode
105_freemind	freemind.controller.printpreview.PreviewDialog
105_freemind	freemind.modes.filemode.FileNodeModel
106_checkstyle	com.atlassw.tools.eclipse.checkstyle.config.Module
107_weka	weka.associations.ItemSet
107_weka	weka.core.Version
107_weka	weka.core.tokenizers.AlphabeticTokenizer
107_weka	weka.gui.beans.SubstringLabeler
108_liferay	com.liferay.portal.deploy.hot.HookHotDeployListener
108_liferay	com.liferay.portal.executor.PortalExecutorFactoryImpl
108_liferay	com.liferay.portal.kernel.cluster.ClusterExecutorUtil
108_liferay	com.liferay.portal.kernel.messaging.proxy.ProxyMessageListener
108_liferay	com.liferay.portal.kernel.notifications.NotificationEventComparator
108_liferay	com.liferay.portal.kernel.scheduler.CronText
108_liferay	com.liferay.portal.lar.PortletImporter
108_liferay	com.liferay.portal.model.impl.OrganizationModelImpl
108_liferay	com.liferay.portal.module.framework.LogBridge
108_liferay	com.liferay.portal.security.pacl.checker.PortalHookChecker
108_liferay	com.liferay.portal.service.persistence.TeamFinderImpl
108_liferay	com.liferay.portal.spring.context.ArrayApplicationContext
108_liferay	com.liferay.portlet.calendar.model.impl.CalEventModelImpl
108_liferay	com.liferay.portlet.documentlibrary.model.impl.DLFileEntryModelImpl
108_liferay	com.liferay.portlet.documentlibrary.util.PDFProcessorImpl
108_liferay	com.liferay.portlet.documentlibrary.util.comparator.RepositoryModelCreateDateComparator
